Date : 2024-11-30 19:56:11
Directory : d:\Unity\EightDiagramCard\Assets\Scripts
Total : 70 files,  2612 codes, 139 comments, 373 blanks, all 3124 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |         70 |      2,612 |        139 |        373 |      3,124 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                 | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                    |         70 |      2,612 |        139 |        373 |      3,124 |
| Cards                                                                                |          5 |        453 |         28 |         59 |        540 |
| Cards\MonoBehaviour                                                                  |          3 |        412 |         27 |         55 |        494 |
| Cards\ScriptableObjects                                                              |          2 |         41 |          1 |          4 |         46 |
| Characters                                                                           |          3 |        191 |         14 |         36 |        241 |
| Characters\MonoBehaviour                                                             |          3 |        191 |         14 |         36 |        241 |
| Diagrams                                                                             |          2 |         67 |          1 |         12 |         80 |
| Diagrams\MonoBehaviour                                                               |          1 |         39 |          1 |          7 |         47 |
| Diagrams\ScriptableObjects                                                           |          1 |         28 |          0 |          5 |         33 |
| Effects                                                                              |         24 |        381 |         29 |         55 |        465 |
| Effects (Files)                                                                      |          1 |         11 |          3 |          1 |         15 |
| Effects\CardEffects                                                                  |         16 |        222 |         16 |         32 |        270 |
| Effects\DiagramEffects                                                               |          7 |        148 |         10 |         22 |        180 |
| Events                                                                               |          9 |        155 |          2 |         29 |        186 |
| Events\Editor                                                                        |          3 |         61 |          0 |          9 |         70 |
| Events\MonoBehaviour                                                                 |          3 |         41 |          2 |         12 |         55 |
| Events\ScriptableObject                                                              |          3 |         53 |          0 |          8 |         61 |
| Managers                                                                             |          7 |        346 |         13 |         48 |        407 |
| UI                                                                                   |         10 |        709 |         37 |         98 |        844 |
| Utilities                                                                            |          9 |        296 |         14 |         35 |        345 |
| Variable                                                                             |          1 |         14 |          1 |          1 |         16 |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                             | language | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\Unity\EightDiagramCard\Assets\Scripts\Cards\MonoBehaviour\Card.cs                 | C#       |        117 |          8 |         19 |        144 |
| d:\Unity\EightDiagramCard\Assets\Scripts\Cards\MonoBehaviour\CardDeck.cs             | C#       |        228 |         17 |         26 |        271 |
| d:\Unity\EightDiagramCard\Assets\Scripts\Cards\MonoBehaviour\CardDragHandler.cs      | C#       |         67 |          2 |         10 |         79 |
| d:\Unity\EightDiagramCard\Assets\Scripts\Cards\ScriptableObjects\CardDataSO.cs       | C#       |         14 |          1 |          2 |         17 |
| d:\Unity\EightDiagramCard\Assets\Scripts\Cards\ScriptableObjects\CardDeckSO.cs       | C#       |         27 |          0 |          2 |         29 |
| d:\Unity\EightDiagramCard\Assets\Scripts\Characters\MonoBehaviour\CharacterBase.cs   | C#       |        147 |         13 |         24 |        184 |
